,No,Id,Type,Secteur,Largeur,Hauteur,Soudure,Peinture,Finition,Setup,Finition_Long,Palette
0,C-3312-1001-A1,1001,Mur,1,43.0,114.0,40,3.5185185185185186,15,0,0,1
1,C-3312-1002-A1,1002,Mur,1,43.0,114.0,70,3.5185185185185186,35,0,0,1
2,C-3312-1003-A1,1003,Mur,1,43.0,114.0,105,3.5185185185185186,50,0,0,1
3,C-3312-1004-A1,1004,Mur,1,49.5,114.0,85,3.5185185185185186,30,0,0,1
4,C-3312-1007-A1,1007,Mur,1,32.5,110.0,25,3.3950617283950617,5,0,0,1
5,C-3312-1010-A1,1010,Mur,1,43.0,114.0,45,3.5185185185185186,10,0,0,1
130,C-3312-1011-A1,1011,Mur,2,43.0,114.0,60,3.5185185185185186,20,0,0,1
131,C-3312-1012-A1,1012,Mur,2,43.0,114.0,25,3.5185185185185186,5,0,0,2
132,C-3312-1013-A49,1013,Retour,2,43.0,114.0,100,3.5185185185185186,5,0,0,2
133,C-3312-1014-A1,1014,Mur,2,47.0625,114.0,20,3.5185185185185186,5,0,0,2
134,C-3312-1015-A1,1015,Mur,2,15.0625,114.0,85,3.5185185185185186,45,0,0,2
135,C-3312-1016-A1,1016,Mur,2,12.0,114.0,70,3.5185185185185186,35,0,0,2
136,C-3312-1018-A1,1018,Mur,2,30.1875,114.0,130,3.5185185185185186,75,0,0,2
137,C-3312-1019-A1,1019,Mur,2,37.9375,109.75,110,3.3873456790123457,25,0,0,2
138,C-3312-1022-A1,1022,Mur,2,52.625,114.0,80,3.5185185185185186,30,0,0,3
139,C-3312-1023-A49,1023,Retour,2,43.0,114.0,100,3.5185185185185186,5,0,0,3
140,C-3312-1024-A49,1024,Retour,2,43.0,114.0,100,3.5185185185185186,5,0,0,3
141,C-3312-1026-A1,1026,Mur,2,43.0,114.0,155,3.5185185185185186,85,0,0,3
142,C-3312-1029-A1,1029,Mur,2,43.0,114.0,25,3.5185185185185186,5,0,0,3
276,C-3312-1032-A1,1032,Mur,4,11.375,114.0,85,3.5185185185185186,45,0,0,3
277,C-3312-1034-A49,1034,Retour,4,43.0,114.0,100,3.5185185185185186,5,0,0,3
278,C-3312-1036-A1,1036,Mur,4,43.0,114.0,45,3.5185185185185186,15,0,0,4
435,C-3312-1041-A1,1041,Mur,6,43.0,114.0,155,3.5185185185185186,85,0,0,4
436,C-3312-1042-A49,1042,Retour,6,43.0,114.0,100,3.5185185185185186,5,0,0,4
437,C-3312-1043-A49,1043,Retour,6,43.0,114.0,100,3.5185185185185186,5,0,0,4
438,C-3312-1044-A1,1044,Mur,6,48.5625,114.0,75,3.5185185185185186,30,0,0,4
440,C-3312-1048-A49,1048,Retour,6,43.0,114.0,100,3.5185185185185186,5,0,0,4
439,C-3312-1048-A1,1048,Mur,6,13.9375,114.0,40,3.5185185185185186,15,0,0,4
441,C-3312-1050-A1,1050,Mur,6,17.0625,114.0,70,3.5185185185185186,35,0,0,5
442,C-3312-1052-A1,1052,Mur,6,31.0625,114.0,45,3.5185185185185186,10,0,0,5
443,C-3312-1053-A1,1053,Mur,6,43.0,114.0,40,3.5185185185185186,15,0,0,5
444,C-3312-1056-A1,1056,Mur,6,43.0,114.0,25,3.5185185185185186,5,0,0,5
445,C-3312-1057-A1,1057,Mur,6,43.0,114.0,25,3.5185185185185186,5,0,0,5
326,C-3312-1059-A1,1059,Mur,5,43.0,114.0,40,3.5185185185185186,15,0,0,5
327,C-3312-1061-A1,1061,Mur,5,43.0,114.0,45,3.5185185185185186,10,0,0,5
328,C-3312-1062-A1,1062,Mur,5,43.0,114.0,55,3.5185185185185186,25,0,0,6
329,C-3312-1063-A1,1063,Mur,5,43.0,114.0,100,3.5185185185185186,55,0,0,6
330,C-3312-1064-A1,1064,Mur,5,43.0,114.0,55,3.5185185185185186,25,0,0,6
331,C-3312-1066-A1,1066,Mur,5,43.0,114.0,45,3.5185185185185186,10,0,0,6
332,C-3312-1068-A1,1068,Mur,5,43.0,114.0,85,3.5185185185185186,45,0,0,6
333,C-3312-1069-A1,1069,Mur,5,43.0,114.0,85,3.5185185185185186,45,0,0,6
334,C-3312-1070-A1,1070,Mur,5,43.0,114.0,70,3.5185185185185186,35,0,0,6
335,C-3312-1071-A1,1071,Mur,5,24.0,114.0,110,3.5185185185185186,55,0,0,7
336,C-3312-1073-A1,1073,Mur,5,43.0,114.0,75,3.5185185185185186,30,0,0,7
337,C-3312-1075-A1,1075,Mur,5,43.0,114.0,105,3.5185185185185186,50,0,0,7
338,C-3312-1077-A1,1077,Mur,5,21.375,114.0,60,3.5185185185185186,20,0,0,7
339,C-3312-1078-A1,1078,Mur,5,30.0,165.0,85,5.092592592592593,45,0,0,7
340,C-3312-1079-A49,1079,Retour,5,43.0,165.0,100,5.092592592592593,5,0,0,7
341,C-3312-1081-A1,1081,Mur,5,8.0,165.0,25,5.092592592592593,5,0,0,7
224,C-3312-1082-A49,1082,Retour,3,43.0,114.0,100,3.5185185185185186,5,0,0,8
225,C-3312-1084-A1,1084,Mur,3,34.0,114.0,105,3.5185185185185186,50,0,0,8
226,C-3312-1086-A49,1086,Retour,3,43.0,110.0,100,3.3950617283950617,5,0,0,8
227,C-3312-1089-A1,1089,Mur,3,19.9375,114.0,25,3.5185185185185186,5,0,0,8
6,C-3312-1090-A49,1090,Retour,1,43.0,165.0,100,5.092592592592593,5,0,0,8
7,C-3312-1091-A49,1091,Retour,1,43.0,165.0,100,5.092592592592593,5,0,0,8
8,C-3312-1092-A1,1092,Mur,1,38.0,165.0,70,5.092592592592593,35,0,0,8
9,C-3312-1093-A1,1093,Mur,1,20.1875,114.0,75,3.5185185185185186,30,0,0,9
10,C-3312-1094-A49,1094,Retour,1,43.0,114.0,100,3.5185185185185186,5,0,0,9
11,C-3312-1095-A1,1095,Mur,1,43.0,114.0,105,3.5185185185185186,50,0,0,9
12,C-3312-1098-A1,1098,Mur,1,43.0,114.0,105,3.5185185185185186,50,0,0,9
13,C-3312-1100-A1,1100,Mur,1,43.0,114.0,80,3.5185185185185186,35,0,0,9
14,C-3312-1101-A1,1101,Mur,1,43.0,114.0,85,3.5185185185185186,45,0,0,9
15,C-3312-1102-A1,1102,Mur,1,43.0,114.0,70,3.5185185185185186,35,0,0,9
16,C-3312-1103-A49,1103,Retour,1,43.0,114.0,100,3.5185185185185186,5,0,0,10
17,C-3312-1105-A49,1105,Retour,1,43.0,114.0,100,3.5185185185185186,5,0,0,10
18,C-3312-1106-A1,1106,Mur,1,10.875,114.0,55,3.5185185185185186,25,0,0,10
19,C-3312-1110-A1,1110,Mur,1,9.0,114.0,45,3.5185185185185186,10,0,0,10
20,C-3312-1113-A1,1113,Mur,1,43.0,114.0,130,3.5185185185185186,60,0,0,10
21,C-3312-1114-A1,1114,Mur,1,30.9375,114.0,95,3.5185185185185186,45,0,0,10
22,C-3312-1115-A1,1115,Mur,1,36.0,114.0,160,3.5185185185185186,50,0,0,10
23,C-3312-1116-A1,1116,Mur,1,33.625,161.0,70,4.969135802469136,35,0,0,11
24,C-3312-1117-A49,1117,Retour,1,43.0,165.0,100,5.092592592592593,5,0,0,11
25,C-3312-1118-A49,1118,Retour,1,43.0,165.0,100,5.092592592592593,5,0,0,11
26,C-3312-1119-A1,1119,Mur,1,7.375,114.0,40,3.5185185185185186,15,0,0,11
27,C-3312-1122-A1,1122,Mur,1,49.125,114.0,75,3.5185185185185186,30,0,0,11
28,C-3312-1123-A1,1123,Mur,1,43.0,114.0,75,3.5185185185185186,30,0,0,11
29,C-3312-1124-A1,1124,Mur,1,43.0,114.0,125,3.5185185185185186,65,0,0,11
30,C-3312-1125-A1,1125,Mur,1,43.0,114.0,115,3.5185185185185186,65,0,0,12
31,C-3312-1126-A1,1126,Mur,1,43.0,114.0,45,3.5185185185185186,10,0,0,12
32,C-3312-1127-A1,1127,Mur,1,43.0,51.0,20,1.5740740740740742,5,0,0,12
33,C-3312-1128-A1,1128,Mur,1,43.0,51.0,20,1.5740740740740742,5,0,0,12
34,C-3312-1129-A1,1129,Mur,1,43.0,51.0,20,1.5740740740740742,5,0,0,12
35,C-3312-1130-A1,1130,Mur,1,43.0,51.0,20,1.5740740740740742,5,0,0,12
36,C-3312-1131-A1,1131,Mur,1,43.0,51.0,20,1.5740740740740742,5,0,0,12
37,C-3312-1132-A8,1132,Mur,1,43.0,51.0,45,1.5740740740740742,10,0,0,13
143,C-3312-1133-A1,1133,Mur,2,39.4375,114.0,115,3.5185185185185186,65,0,0,13
144,C-3312-1135-A1,1135,Mur,2,43.0,114.0,120,3.5185185185185186,60,0,0,13
145,C-3312-1136-A1,1136,Mur,2,43.0,114.0,25,3.5185185185185186,5,0,0,13
146,C-3312-1137-A1,1137,Mur,2,43.0,114.0,165,3.5185185185185186,90,0,0,13
147,C-3312-1139-A1,1139,Mur,2,20.0,114.0,25,3.5185185185185186,5,0,0,13
148,C-3312-1140-A1,1140,Mur,2,43.0,114.0,25,3.5185185185185186,5,0,0,13
38,C-3312-1141-A1,1141,Mur,1,17.875,165.0,25,5.092592592592593,5,0,0,14
39,C-3312-1142-A1,1142,Mur,1,43.0,165.0,95,5.092592592592593,45,0,0,14
40,C-3312-1143-A1,1143,Mur,1,43.0,165.0,85,5.092592592592593,45,0,0,14
41,C-3312-1144-A49,1144,Retour,1,43.0,165.0,100,5.092592592592593,5,0,0,14
